Occupation,Total,16-19,20-24,25-34,35-44,45-54,55-64,65<=,Median age,Year,Major Group,Minor Group,Broad Group,Detailed Occupation
paralegals and legal assistants,418.0,3.0,38.0,104.0,97.0,100.0,62.0,13.0,41.4,2012,23-0000,23-2000,23-2010,-
paralegals and legal assistants,418.0,3.0,38.0,104.0,97.0,100.0,62.0,13.0,41.4,2012,23-0000,23-2000,23-2010,23-2011
paralegals and legal assistants,404.0,3.0,26.0,112.0,79.0,99.0,73.0,13.0,42.8,2011,23-0000,23-2000,23-2010,-
paralegals and legal assistants,404.0,3.0,26.0,112.0,79.0,99.0,73.0,13.0,42.8,2011,23-0000,23-2000,23-2010,23-2011
postsecondary teachers,1154.0,1.0,24.0,167.0,260.0,261.0,274.0,166.0,49.4,2021,25-0000,25-1000,-,-
postsecondary teachers,1156.0,3.0,43.0,174.0,261.0,242.0,252.0,179.0,48.3,2020,25-0000,25-1000,-,-
postsecondary teachers,1386.0,6.0,103.0,284.0,312.0,258.0,251.0,172.0,45,2019,25-0000,25-1000,-,-
postsecondary teachers,1417.0,10.0,119.0,305.0,304.0,275.0,241.0,164.0,44.2,2018,25-0000,25-1000,-,-
postsecondary teachers,1423.0,8.0,117.0,322.0,281.0,274.0,268.0,154.0,44.5,2017,25-0000,25-1000,-,-
postsecondary teachers,1420.0,13.0,108.0,334.0,292.0,251.0,269.0,152.0,44.2,2016,25-0000,25-1000,-,-
postsecondary teachers,1341.0,7.0,101.0,289.0,267.0,259.0,262.0,155.0,45.5,2015,25-0000,25-1000,-,-
postsecondary teachers,1259.0,5.0,84.0,296.0,229.0,236.0,260.0,150.0,46,2014,25-0000,25-1000,-,-
postsecondary teachers,1313.0,5.0,100.0,285.0,255.0,248.0,269.0,152.0,45.7,2013,25-0000,25-1000,-,-
postsecondary teachers,1350.0,6.0,95.0,304.0,262.0,274.0,274.0,136.0,45.2,2012,25-0000,25-1000,-,-
postsecondary teachers,1355.0,5.0,86.0,299.0,270.0,281.0,279.0,135.0,45.7,2011,25-0000,25-1000,-,-
preschool and kindergarten teachers,613.0,16.0,87.0,164.0,139.0,114.0,71.0,22.0,38.5,2021,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,535.0,13.0,61.0,151.0,128.0,106.0,59.0,16.0,38.5,2020,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,655.0,10.0,80.0,175.0,157.0,131.0,79.0,23.0,39.4,2019,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,716.0,10.0,83.0,196.0,163.0,149.0,85.0,29.0,39.8,2018,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,712.0,14.0,87.0,198.0,160.0,144.0,88.0,23.0,38.7,2017,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,692.0,6.0,68.0,206.0,164.0,140.0,92.0,17.0,39.2,2016,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,695.0,12.0,78.0,201.0,160.0,134.0,85.0,25.0,38.8,2015,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,664.0,6.0,67.0,192.0,158.0,135.0,77.0,29.0,39.5,2014,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,695.0,8.0,75.0,195.0,160.0,143.0,91.0,23.0,39.6,2013,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,678.0,15.0,70.0,183.0,161.0,145.0,82.0,22.0,39.5,2012,25-0000,25-2000,25-2010,-
preschool and kindergarten teachers,707.0,6.0,92.0,184.0,182.0,142.0,85.0,16.0,39.2,2011,25-0000,25-2000,25-2010,-
elementary and middle school teachers,3260.0,8.0,132.0,757.0,881.0,880.0,458.0,144.0,43.2,2021,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3371.0,2.0,141.0,789.0,961.0,824.0,512.0,142.0,42.9,2020,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3604.0,6.0,171.0,887.0,938.0,877.0,539.0,185.0,42.7,2019,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3421.0,11.0,148.0,850.0,925.0,820.0,481.0,185.0,42.4,2018,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3268.0,7.0,151.0,768.0,887.0,787.0,514.0,155.0,43,2017,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3186.0,8.0,151.0,729.0,903.0,737.0,506.0,152.0,42.9,2016,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3152.0,11.0,147.0,761.0,838.0,744.0,504.0,146.0,42.8,2015,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3102.0,8.0,139.0,766.0,855.0,709.0,479.0,146.0,42.6,2014,25-0000,25-2000,25-2020,-
elementary and middle school teachers,3038.0,6.0,132.0,743.0,838.0,683.0,506.0,130.0,43,2013,25-0000,25-2000,25-2020,-
elementary and middle school teachers,2838.0,8.0,117.0,722.0,731.0,647.0,502.0,111.0,43,2012,25-0000,25-2000,25-2020,-
elementary and middle school teachers,2848.0,7.0,124.0,701.0,741.0,676.0,507.0,92.0,43,2011,25-0000,25-2000,25-2020,-
secondary school teachers,940.0,2.0,32.0,229.0,241.0,263.0,139.0,33.0,43,2021,25-0000,25-2000,25-2030,-
secondary school teachers,963.0,1.0,34.0,250.0,265.0,245.0,139.0,29.0,42.7,2020,25-0000,25-2000,25-2030,-
secondary school teachers,1015.0,4.0,49.0,261.0,280.0,225.0,147.0,50.0,42.2,2019,25-0000,25-2000,25-2030,-
secondary school teachers,1062.0,3.0,46.0,235.0,300.0,267.0,153.0,58.0,43,2018,25-0000,25-2000,25-2030,-
secondary school teachers,1039.0,3.0,32.0,265.0,274.0,245.0,165.0,56.0,43.1,2017,25-0000,25-2000,25-2030,-
secondary school teachers,1078.0,4.0,47.0,265.0,274.0,265.0,173.0,49.0,43,2016,25-0000,25-2000,25-2030,-
secondary school teachers,1144.0,6.0,59.0,262.0,291.0,260.0,210.0,55.0,43.4,2015,25-0000,25-2000,25-2030,-
secondary school teachers,1099.0,2.0,53.0,296.0,282.0,233.0,189.0,43.0,42.7,2014,25-0000,25-2000,25-2030,-
secondary school teachers,1063.0,2.0,45.0,303.0,258.0,229.0,188.0,36.0,42.5,2013,25-0000,25-2000,25-2030,-
secondary school teachers,1127.0,3.0,53.0,303.0,272.0,268.0,184.0,44.0,42.8,2012,25-0000,25-2000,25-2030,-
secondary school teachers,1136.0,5.0,44.0,289.0,279.0,271.0,205.0,42.0,43.2,2011,25-0000,25-2000,25-2030,-
special education teachers,362.0,0.0,8.0,82.0,100.0,89.0,68.0,15.0,44,2021,25-0000,25-2000,25-2050,-
special education teachers,332.0,1.0,14.0,72.0,90.0,77.0,65.0,13.0,43.5,2020,25-0000,25-2000,25-2050,-
special education teachers,331.0,1.0,14.0,74.0,84.0,86.0,58.0,15.0,44,2019,25-0000,25-2000,25-2050,-
special education teachers,369.0,0.0,16.0,85.0,98.0,89.0,61.0,21.0,43.1,2018,25-0000,25-2000,25-2050,-
special education teachers,422.0,1.0,19.0,92.0,114.0,99.0,78.0,18.0,43.3,2017,25-0000,25-2000,25-2050,-
special education teachers,353.0,1.0,18.0,83.0,95.0,80.0,62.0,14.0,42.7,2016,25-0000,25-2000,25-2050,-
special education teachers,330.0,1.0,9.0,73.0,87.0,82.0,64.0,14.0,45,2015,25-0000,25-2000,25-2050,-
special education teachers,336.0,0.0,15.0,78.0,80.0,72.0,80.0,11.0,45.2,2014,25-0000,25-2000,25-2050,-
special education teachers,377.0,3.0,11.0,99.0,96.0,95.0,64.0,10.0,42.9,2013,25-0000,25-2000,25-2050,-
special education teachers,366.0,3.0,13.0,94.0,70.0,106.0,67.0,14.0,44.7,2012,25-0000,25-2000,25-2050,-
special education teachers,388.0,1.0,11.0,102.0,93.0,104.0,65.0,12.0,43.3,2011,25-0000,25-2000,25-2050,-
other teachers and instructors,737.0,24.0,68.0,139.0,178.0,129.0,118.0,81.0,43.1,2021,25-0000,25-3000,-,-
other teachers and instructors,687.0,19.0,53.0,150.0,139.0,137.0,111.0,78.0,44.2,2020,25-0000,25-3000,-,-
other teachers and instructors,1017.0,63.0,123.0,205.0,187.0,169.0,158.0,112.0,41.5,2019,25-0000,25-3000,-,-
other teachers and instructors,905.0,49.0,109.0,208.0,139.0,165.0,149.0,86.0,41.4,2018,25-0000,25-3000,-,-
other teachers and instructors,907.0,48.0,112.0,204.0,165.0,160.0,133.0,84.0,40.9,2017,25-0000,25-3000,-,-
other teachers and instructors,868.0,51.0,126.0,163.0,164.0,134.0,151.0,78.0,41,2016,25-0000,25-3000,-,-
other teachers and instructors,876.0,52.0,133.0,170.0,153.0,151.0,137.0,81.0,40.6,2015,25-0000,25-3000,-,-
other teachers and instructors,836.0,49.0,119.0,182.0,142.0,140.0,129.0,75.0,40.3,2014,25-0000,25-3000,-,-
other teachers and instructors,753.0,32.0,107.0,159.0,136.0,117.0,130.0,71.0,41.3,2013,25-0000,25-3000,-,-
other teachers and instructors,860.0,48.0,137.0,178.0,126.0,144.0,158.0,69.0,40.5,2012,25-0000,25-3000,-,-
other teachers and instructors,812.0,37.0,95.0,157.0,133.0,169.0,146.0,75.0,43.7,2011,25-0000,25-3000,-,-
"archivists, curators, and museum technicians",62.0,2.0,5.0,18.0,9.0,6.0,13.0,9.0,45,2021,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",57.0,0.0,3.0,24.0,10.0,4.0,9.0,6.0,40.3,2020,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",48.0,1.0,5.0,10.0,11.0,10.0,5.0,8.0,-,2019,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",45.0,1.0,5.0,7.0,9.0,10.0,8.0,6.0,-,2018,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",59.0,0.0,3.0,17.0,9.0,12.0,9.0,8.0,44.2,2017,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",43.0,1.0,2.0,10.0,10.0,4.0,8.0,7.0,-,2016,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",53.0,0.0,5.0,11.0,14.0,10.0,12.0,2.0,43,2015,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",47.0,0.0,6.0,6.0,15.0,10.0,7.0,3.0,-,2014,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",41.0,0.0,1.0,10.0,6.0,11.0,8.0,5.0,-,2013,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",46.0,1.0,3.0,5.0,10.0,10.0,12.0,6.0,-,2012,25-0000,25-4000,25-4010,-
"archivists, curators, and museum technicians",48.0,1.0,3.0,5.0,7.0,13.0,16.0,3.0,-,2011,25-0000,25-4000,25-4010,-
librarians and media collections specialists,158.0,0.0,3.0,29.0,32.0,34.0,40.0,20.0,49.9,2021,25-0000,25-4000,25-4020,-
librarians and media collections specialists,158.0,0.0,3.0,29.0,32.0,34.0,40.0,20.0,49.9,2021,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,176.0,1.0,3.0,29.0,42.0,36.0,41.0,25.0,49.6,2020,25-0000,25-4000,25-4020,-
librarians and media collections specialists,176.0,1.0,3.0,29.0,42.0,36.0,41.0,25.0,49.6,2020,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,179.0,0.0,9.0,33.0,37.0,34.0,38.0,26.0,47.7,2019,25-0000,25-4000,25-4020,-
librarians and media collections specialists,179.0,0.0,9.0,33.0,37.0,34.0,38.0,26.0,47.7,2019,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,178.0,2.0,9.0,31.0,38.0,34.0,42.0,21.0,47.2,2018,25-0000,25-4000,25-4020,-
librarians and media collections specialists,178.0,2.0,9.0,31.0,38.0,34.0,42.0,21.0,47.2,2018,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,194.0,2.0,8.0,33.0,48.0,34.0,42.0,28.0,46.8,2017,25-0000,25-4000,25-4020,-
librarians and media collections specialists,194.0,2.0,8.0,33.0,48.0,34.0,42.0,28.0,46.8,2017,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,190.0,1.0,6.0,35.0,29.0,46.0,46.0,27.0,50.7,2016,25-0000,25-4000,25-4020,-
librarians and media collections specialists,190.0,1.0,6.0,35.0,29.0,46.0,46.0,27.0,50.7,2016,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,166.0,1.0,4.0,25.0,35.0,44.0,39.0,18.0,48.6,2015,25-0000,25-4000,25-4020,-
librarians and media collections specialists,166.0,1.0,4.0,25.0,35.0,44.0,39.0,18.0,48.6,2015,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,198.0,2.0,6.0,25.0,47.0,41.0,55.0,21.0,49.1,2014,25-0000,25-4000,25-4020,-
librarians and media collections specialists,198.0,2.0,6.0,25.0,47.0,41.0,55.0,21.0,49.1,2014,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,194.0,2.0,7.0,27.0,35.0,54.0,53.0,17.0,50.5,2013,25-0000,25-4000,25-4020,-
librarians and media collections specialists,194.0,2.0,7.0,27.0,35.0,54.0,53.0,17.0,50.5,2013,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,181.0,1.0,7.0,24.0,31.0,46.0,57.0,15.0,51.1,2012,25-0000,25-4000,25-4020,-
librarians and media collections specialists,181.0,1.0,7.0,24.0,31.0,46.0,57.0,15.0,51.1,2012,25-0000,25-4000,25-4020,25-4022
librarians and media collections specialists,198.0,1.0,10.0,27.0,29.0,46.0,64.0,22.0,52,2011,25-0000,25-4000,25-4020,-
librarians and media collections specialists,198.0,1.0,10.0,27.0,29.0,46.0,64.0,22.0,52,2011,25-0000,25-4000,25-4020,25-4022
library technicians,38.0,2.0,1.0,5.0,6.0,2.0,15.0,6.0,-,2021,25-0000,25-4000,25-4030,-
library technicians,38.0,2.0,1.0,5.0,6.0,2.0,15.0,6.0,-,2021,25-0000,25-4000,25-4030,25-4031
library technicians,34.0,0.0,5.0,4.0,5.0,3.0,12.0,5.0,-,2020,25-0000,25-4000,25-4030,-
library technicians,34.0,0.0,5.0,4.0,5.0,3.0,12.0,5.0,-,2020,25-0000,25-4000,25-4030,25-4031
library technicians,33.0,7.0,6.0,2.0,5.0,5.0,6.0,1.0,-,2019,25-0000,25-4000,25-4030,-
library technicians,33.0,7.0,6.0,2.0,5.0,5.0,6.0,1.0,-,2019,25-0000,25-4000,25-4030,25-4031
library technicians,33.0,5.0,5.0,6.0,4.0,8.0,5.0,2.0,-,2018,25-0000,25-4000,25-4030,-
library technicians,33.0,5.0,5.0,6.0,4.0,8.0,5.0,2.0,-,2018,25-0000,25-4000,25-4030,25-4031
library technicians,40.0,5.0,11.0,1.0,5.0,5.0,9.0,4.0,-,2017,25-0000,25-4000,25-4030,-
library technicians,40.0,5.0,11.0,1.0,5.0,5.0,9.0,4.0,-,2017,25-0000,25-4000,25-4030,25-4031
library technicians,37.0,2.0,6.0,6.0,8.0,5.0,6.0,2.0,-,2016,25-0000,25-4000,25-4030,-
library technicians,37.0,2.0,6.0,6.0,8.0,5.0,6.0,2.0,-,2016,25-0000,25-4000,25-4030,25-4031
library technicians,31.0,6.0,3.0,5.0,5.0,4.0,5.0,2.0,-,2015,25-0000,25-4000,25-4030,-
library technicians,31.0,6.0,3.0,5.0,5.0,4.0,5.0,2.0,-,2015,25-0000,25-4000,25-4030,25-4031
library technicians,36.0,6.0,10.0,4.0,4.0,5.0,6.0,1.0,-,2014,25-0000,25-4000,25-4030,-
library technicians,36.0,6.0,10.0,4.0,4.0,5.0,6.0,1.0,-,2014,25-0000,25-4000,25-4030,25-4031
library technicians,39.0,4.0,9.0,6.0,7.0,5.0,7.0,1.0,-,2013,25-0000,25-4000,25-4030,-
library technicians,39.0,4.0,9.0,6.0,7.0,5.0,7.0,1.0,-,2013,25-0000,25-4000,25-4030,25-4031
library technicians,45.0,6.0,7.0,8.0,6.0,5.0,12.0,1.0,-,2012,25-0000,25-4000,25-4030,-
library technicians,45.0,6.0,7.0,8.0,6.0,5.0,12.0,1.0,-,2012,25-0000,25-4000,25-4030,25-4031
library technicians,37.0,6.0,7.0,6.0,5.0,5.0,6.0,2.0,-,2011,25-0000,25-4000,25-4030,-
library technicians,37.0,6.0,7.0,6.0,5.0,5.0,6.0,2.0,-,2011,25-0000,25-4000,25-4030,25-4031
teaching assistants,1309.0,43.0,190.0,337.0,219.0,240.0,209.0,71.0,39.1,2021,25-0000,25-9000,25-9040,-
teaching assistants,1220.0,40.0,185.0,329.0,195.0,219.0,190.0,61.0,37.6,2020,25-0000,25-9000,25-9040,-
teaching assistants,999.0,25.0,115.0,186.0,202.0,217.0,197.0,57.0,42.9,2019,25-0000,25-9000,25-9040,-
teaching assistants,994.0,28.0,115.0,181.0,191.0,228.0,198.0,54.0,43.9,2018,25-0000,25-9000,25-9040,-
teaching assistants,989.0,32.0,105.0,187.0,183.0,232.0,190.0,59.0,43.2,2017,25-0000,25-9000,25-9040,-
teaching assistants,950.0,23.0,108.0,158.0,192.0,243.0,184.0,42.0,43.6,2016,25-0000,25-9000,25-9040,-
teaching assistants,960.0,21.0,113.0,154.0,183.0,241.0,202.0,46.0,44.3,2015,25-0000,25-9000,25-9040,-
teaching assistants,904.0,18.0,105.0,142.0,179.0,226.0,185.0,47.0,45,2014,25-0000,25-9000,25-9040,-
teaching assistants,918.0,26.0,80.0,164.0,178.0,255.0,169.0,47.0,44.8,2013,25-0000,25-9000,25-9040,-
teaching assistants,898.0,18.0,92.0,152.0,180.0,254.0,164.0,36.0,44.1,2012,25-0000,25-9000,25-9040,-
teaching assistants,950.0,23.0,99.0,163.0,175.0,276.0,178.0,36.0,44.9,2011,25-0000,25-9000,25-9040,-
"educational instruction and library workers, all other",145.0,1.0,6.0,26.0,42.0,31.0,25.0,14.0,45.6,2021,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",176.0,2.0,13.0,27.0,50.0,43.0,21.0,21.0,43.6,2020,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",189.0,2.0,15.0,41.0,40.0,42.0,34.0,16.0,44.7,2019,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",173.0,3.0,17.0,39.0,32.0,41.0,28.0,13.0,43.4,2018,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",161.0,2.0,20.0,27.0,33.0,33.0,34.0,11.0,43.9,2017,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",132.0,3.0,11.0,23.0,27.0,28.0,24.0,16.0,45.4,2016,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",161.0,3.0,13.0,30.0,40.0,34.0,25.0,15.0,45,2015,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",206.0,0.0,14.0,39.0,42.0,50.0,43.0,17.0,46.5,2014,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",192.0,2.0,13.0,37.0,38.0,40.0,46.0,17.0,47.4,2013,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",153.0,3.0,8.0,31.0,29.0,37.0,31.0,14.0,46.4,2012,25-0000,25-9000,25-9090,25-9099
"educational instruction and library workers, all other",140.0,2.0,9.0,23.0,32.0,30.0,34.0,11.0,46.3,2011,25-0000,25-9000,25-9090,25-9099
"arts, design, entertainment, sports, and media occupations",3151.0,82.0,236.0,858.0,678.0,520.0,495.0,281.0,41.4,2021,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3042.0,65.0,222.0,866.0,670.0,534.0,445.0,239.0,41.2,2020,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3285.0,100.0,290.0,910.0,690.0,586.0,437.0,272.0,40.6,2019,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3362.0,111.0,302.0,921.0,667.0,621.0,459.0,280.0,40.7,2018,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3246.0,98.0,297.0,863.0,680.0,572.0,489.0,247.0,40.8,2017,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3097.0,88.0,285.0,801.0,655.0,578.0,458.0,232.0,40.9,2016,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",3051.0,79.0,248.0,783.0,662.0,592.0,464.0,223.0,41.5,2015,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",2935.0,66.0,297.0,760.0,620.0,565.0,440.0,188.0,40.9,2014,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",2879.0,77.0,300.0,752.0,594.0,537.0,435.0,183.0,40.5,2013,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",2814.0,78.0,285.0,706.0,592.0,564.0,415.0,175.0,41,2012,27-0000,-,-,-
"arts, design, entertainment, sports, and media occupations",2779.0,68.0,273.0,711.0,586.0,563.0,419.0,160.0,40.9,2011,27-0000,-,-,-
artists and related workers,286.0,3.0,17.0,84.0,54.0,49.0,48.0,31.0,43.3,2021,27-0000,27-1000,27-1010,-
artists and related workers,256.0,1.0,13.0,74.0,49.0,42.0,40.0,37.0,44.1,2020,27-0000,27-1000,27-1010,-
artists and related workers,248.0,4.0,11.0,64.0,51.0,39.0,45.0,34.0,44.2,2019,27-0000,27-1000,27-1010,-
artists and related workers,232.0,2.0,19.0,50.0,45.0,41.0,44.0,31.0,46.1,2018,27-0000,27-1000,27-1010,-
artists and related workers,236.0,4.0,15.0,62.0,39.0,37.0,42.0,38.0,44.4,2017,27-0000,27-1000,27-1010,-
artists and related workers,232.0,3.0,9.0,46.0,43.0,47.0,48.0,36.0,47.9,2016,27-0000,27-1000,27-1010,-
artists and related workers,222.0,0.0,10.0,39.0,41.0,60.0,50.0,23.0,48.6,2015,27-0000,27-1000,27-1010,-
artists and related workers,203.0,2.0,9.0,38.0,37.0,44.0,49.0,24.0,48,2014,27-0000,27-1000,27-1010,-
artists and related workers,194.0,2.0,7.0,43.0,32.0,34.0,48.0,27.0,49.1,2013,27-0000,27-1000,27-1010,-
artists and related workers,212.0,0.0,10.0,44.0,53.0,42.0,46.0,17.0,45.7,2012,27-0000,27-1000,27-1010,-
artists and related workers,180.0,1.0,10.0,34.0,49.0,35.0,36.0,16.0,45.3,2011,27-0000,27-1000,27-1010,-
actors,45.0,2.0,4.0,13.0,8.0,6.0,4.0,8.0,-,2021,27-0000,27-2000,27-2010,27-2011
actors,29.0,1.0,5.0,8.0,4.0,5.0,4.0,3.0,-,2020,27-0000,27-2000,27-2010,27-2011
actors,40.0,2.0,3.0,11.0,9.0,7.0,6.0,2.0,-,2019,27-0000,27-2000,27-2010,27-2011
actors,36.0,0.0,3.0,14.0,8.0,7.0,1.0,4.0,-,2018,27-0000,27-2000,27-2010,27-2011
actors,40.0,1.0,6.0,16.0,7.0,4.0,3.0,3.0,-,2017,27-0000,27-2000,27-2010,27-2011
actors,47.0,1.0,4.0,17.0,8.0,7.0,3.0,7.0,-,2016,27-0000,27-2000,27-2010,27-2011
actors,49.0,2.0,5.0,14.0,10.0,8.0,7.0,4.0,-,2015,27-0000,27-2000,27-2010,27-2011
actors,43.0,3.0,4.0,9.0,10.0,9.0,4.0,4.0,-,2014,27-0000,27-2000,27-2010,27-2011
actors,46.0,0.0,13.0,10.0,10.0,10.0,1.0,2.0,-,2013,27-0000,27-2000,27-2010,27-2011
actors,37.0,2.0,7.0,10.0,9.0,5.0,3.0,1.0,-,2012,27-0000,27-2000,27-2010,27-2011
actors,28.0,3.0,4.0,7.0,5.0,6.0,2.0,2.0,-,2011,27-0000,27-2000,27-2010,27-2011
producers and directors,182.0,1.0,13.0,49.0,44.0,45.0,15.0,16.0,41.3,2021,27-0000,27-2000,27-2010,27-2012
producers and directors,181.0,2.0,8.0,60.0,42.0,41.0,18.0,10.0,40.4,2020,27-0000,27-2000,27-2010,27-2012
producers and directors,186.0,0.0,5.0,64.0,44.0,47.0,21.0,5.0,40.4,2019,27-0000,27-2000,27-2010,27-2012
producers and directors,201.0,0.0,6.0,67.0,55.0,45.0,18.0,10.0,40.2,2018,27-0000,27-2000,27-2010,27-2012
producers and directors,180.0,0.0,13.0,47.0,55.0,29.0,27.0,8.0,41.2,2017,27-0000,27-2000,27-2010,27-2012
producers and directors,173.0,1.0,8.0,56.0,44.0,30.0,26.0,7.0,40.4,2016,27-0000,27-2000,27-2010,27-2012
producers and directors,169.0,1.0,9.0,55.0,38.0,37.0,25.0,4.0,40.4,2015,27-0000,27-2000,27-2010,27-2012
producers and directors,161.0,0.0,15.0,48.0,31.0,35.0,24.0,8.0,40.5,2014,27-0000,27-2000,27-2010,27-2012
producers and directors,150.0,0.0,9.0,46.0,35.0,33.0,24.0,4.0,41.2,2013,27-0000,27-2000,27-2010,27-2012
producers and directors,121.0,0.0,10.0,37.0,28.0,22.0,19.0,4.0,41.1,2012,27-0000,27-2000,27-2010,27-2012
producers and directors,149.0,2.0,15.0,46.0,30.0,31.0,20.0,6.0,40.3,2011,27-0000,27-2000,27-2010,27-2012
dancers and choreographers,11.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,-,2021,27-0000,27-2000,27-2030,-
dancers and choreographers,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,-,2020,27-0000,27-2000,27-2030,-
dancers and choreographers,23.0,1.0,6.0,9.0,2.0,1.0,1.0,2.0,-,2019,27-0000,27-2000,27-2030,-
dancers and choreographers,24.0,4.0,7.0,7.0,3.0,0.0,2.0,0.0,-,2018,27-0000,27-2000,27-2030,-
dancers and choreographers,21.0,1.0,7.0,6.0,5.0,0.0,1.0,1.0,-,2017,27-0000,27-2000,27-2030,-
dancers and choreographers,17.0,0.0,7.0,5.0,4.0,1.0,0.0,0.0,-,2016,27-0000,27-2000,27-2030,-
dancers and choreographers,19.0,1.0,5.0,7.0,3.0,2.0,0.0,1.0,-,2015,27-0000,27-2000,27-2030,-
dancers and choreographers,18.0,2.0,6.0,5.0,1.0,2.0,2.0,1.0,-,2014,27-0000,27-2000,27-2030,-
dancers and choreographers,19.0,1.0,6.0,6.0,5.0,1.0,0.0,1.0,-,2013,27-0000,27-2000,27-2030,-
dancers and choreographers,21.0,4.0,5.0,9.0,3.0,0.0,0.0,0.0,-,2012,27-0000,27-2000,27-2030,-
dancers and choreographers,20.0,1.0,8.0,7.0,1.0,2.0,0.0,1.0,-,2011,27-0000,27-2000,27-2030,-
broadcast announcers and radio disc jockeys,18.0,0.0,1.0,1.0,5.0,4.0,5.0,2.0,-,2021,27-0000,27-3000,27-3010,-
broadcast announcers and radio disc jockeys,18.0,0.0,1.0,1.0,5.0,4.0,5.0,2.0,-,2021,27-0000,27-3000,27-3010,27-3011
broadcast announcers and radio disc jockeys,28.0,0.0,3.0,5.0,6.0,4.0,8.0,2.0,-,2020,27-0000,27-3000,27-3010,-
broadcast announcers and radio disc jockeys,28.0,0.0,3.0,5.0,6.0,4.0,8.0,2.0,-,2020,27-0000,27-3000,27-3010,27-3011
broadcast announcers and radio disc jockeys,58.0,1.0,3.0,16.0,14.0,14.0,8.0,3.0,42.6,2019,27-0000,27-3000,27-3010,-
broadcast announcers and radio disc jockeys,58.0,1.0,3.0,16.0,14.0,14.0,8.0,3.0,42.6,2019,27-0000,27-3000,27-3010,27-3011
broadcast announcers and radio disc jockeys,56.0,3.0,3.0,17.0,10.0,9.0,10.0,5.0,42.6,2018,27-0000,27-3000,27-3010,-
broadcast announcers and radio disc jockeys,56.0,3.0,3.0,17.0,10.0,9.0,10.0,5.0,42.6,2018,27-0000,27-3000,27-3010,27-3011
broadcast announcers and radio disc jockeys,50.0,0.0,5.0,17.0,10.0,8.0,5.0,5.0,40.9,2017,27-0000,27-3000,27-3010,-
broadcast announcers and radio disc jockeys,50.0,0.0,5.0,17.0,10.0,8.0,5.0,5.0,40.9,2017,27-0000,27-3000,27-3010,27-3011
